data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2020-08-27 13:50:00+08,北投士林,臺北市士林區中山北路與福林路口,2020-08-27 13:50:00~2020-08-27 14:50:00,60.0,30.00,25.09904371,121.52198629
2020-08-03 17:04:00+08,大同文山萬華,台北市文山區萬隆街73號,2020-08-03 17:04:00~2020-08-03 23:10:59,366.0,0,25.00016148,121.53392648
2020-08-03 16:56:00+08,大同文山萬華,台北市文山區萬隆街73號,2020-08-03 16:56:00~2020-08-03 23:10:59,374.0,0,25.00016148,121.53392648
2020-08-03 16:06:00+08,北投士林,台北市士林區中山北路6段155號1樓,2020-08-03 16:06:00~2020-08-03 23:10:59,424.0,0,25.10683028,121.52218098
2020-08-03 15:01:00+08,松山信義港湖,台北市松山區民生東路4段80巷10號,2020-08-03 15:01:00~2020-08-03 23:10:59,489.0,0,25.05700558,121.55043558
2020-08-03 14:46:00+08,北投士林,台北兒童新樂園,2020-08-03 14:46:00~2020-08-03 23:10:59,504.0,0,25.09724071,121.50977444
2020-08-03 14:44:00+08,大同文山萬華,興隆路三段,2020-08-03 14:44:00~2020-08-03 23:10:59,506.0,0,24.99546438,121.55716778
2020-08-03 14:43:00+08,松山信義港湖,民生東路4段80巷10-16號(約4間民宅)[2020/8/3 下午 02:56:18松山區應變中心]已通報相關單位派員前往處理[2020/8/3 下午 02:58:22工務局]區公所已派員[2020/8/3 下午 03:13:55消防局]2020 年8 月3 日15 時9 分17 秒	到達現場[2020/8/3 下午 03:26:02消防局]2020 年8 月3 日15 時15 分13 秒	安全無虞，離開現場,2020-08-03 14:43:00~2020-08-03 23:10:59,507.0,0,25.01973674,121.38493175
2020-08-03 14:16:00+08,大同文山萬華,台北市文山區羅斯福路6段118號,2020-08-03 14:16:00~2020-08-03 23:10:59,534.0,0,24.99745168,121.53800358
2020-08-03 14:06:00+08,松山信義港湖,延平北路四段155之2號 ，汙水處理廠對面,2020-08-03 14:06:00~2020-08-03 23:10:59,544.0,0,25.01973674,121.38493175
2020-08-03 14:04:00+08,中山大同中正,北安路到明水路之間,2020-08-03 14:04:00~2020-08-03 23:10:59,546.0,0,25.08184056,121.54167654
2020-08-03 13:55:00+08,松山信義港湖,台北市內湖區金龍路112巷152號,2020-08-03 13:55:00~2020-08-03 23:10:59,555.0,0,25.08612048,121.58662848
2020-08-03 13:52:00+08,中山大同中正,台北市中山區民生東路2段147巷,2020-08-03 13:52:00~2020-08-03 23:10:59,558.0,0,25.05919748,121.53226668
2020-08-03 13:49:00+08,松山信義港湖,信義路六段76巷8弄,2020-08-03 13:49:00~2020-08-03 23:10:59,561.0,0,25.03289708,121.57372658
2020-08-03 13:47:00+08,大同文山萬華,臺北市文山區景仁里006鄰羅斯福路六段１１８號,2020-08-03 13:47:00~2020-08-03 23:10:59,563.0,0,24.99446426,121.53515744
2020-08-03 13:43:00+08,北投士林,台北市士林區延平北路8段2巷153弄,2020-08-03 13:43:00~2020-08-03 23:10:59,567.0,0,25.11014828,121.48065688
2020-08-03 13:39:00+08,松山信義港湖,臺北市內湖區金龍里023鄰金龍路１１２巷１２號,2020-08-03 13:39:00~2020-08-03 23:10:59,571.0,0,25.08642489,121.5818048
2020-08-03 13:39:00+08,松山信義港湖,台北市松山區民生東路5段36巷10弄16號,2020-08-03 13:39:00~2020-08-03 23:10:59,571.0,0,25.05693888,121.55508138
2020-08-03 13:37:00+08,北投士林,臺北市北投區清江里027鄰崇仁路一段１３６巷１弄１５號1樓,2020-08-03 13:37:00~2020-08-03 23:10:59,573.0,0,25.12862856,121.49676574
2020-08-03 13:29:00+08,北投士林,台北市北投區承德路7段393巷,2020-08-03 13:29:00~2020-08-03 23:10:59,581.0,0,25.11574948,121.49817578
2020-08-03 13:26:00+08,北投士林,中正路201巷,2020-08-03 13:26:00~2020-08-03 23:10:59,584.0,0,25.09441528,121.52450898
2020-08-03 13:24:00+08,中山大同中正,民生東路二段147巷,2020-08-03 13:24:00~2020-08-03 23:10:59,586.0,0,25.05919748,121.53226668
2020-08-03 13:23:00+08,北投士林,台北市士林區中正路187巷50號,2020-08-03 13:23:00~2020-08-03 23:10:59,587.0,0,25.09415078,121.52491938
2020-08-03 13:22:00+08,北投士林,台北市北投區大度路怡合巷3弄,2020-08-03 13:22:00~2020-08-03 23:10:59,588.0,0,25.12207798,121.49352588
2020-08-03 13:20:00+08,松山信義港湖,臺北市松山區介壽里008鄰民生東路五段３６巷１０弄１６號1樓臺北市松山區介壽里008鄰民生東路五段３６巷１０弄１６號，地下室,2020-08-03 13:20:00~2020-08-03 23:10:59,590.0,0,25.05789719,121.5489449
2020-08-03 13:19:00+08,北投士林,台北市北投區中央南路1段102巷6號,2020-08-03 13:19:00~2020-08-03 23:10:59,591.0,0,25.13091768,121.49816698
2020-08-03 13:18:00+08,中山大同中正,臺北市中山區下埤里003鄰復興北路４３０巷８號二樓,2020-08-03 13:18:00~2020-08-03 23:10:59,592.0,0,25.05619669,121.52712875
2020-08-03 13:14:00+08,北投士林,臺北市北投區立賢里012鄰尊賢街２４３巷１１號,2020-08-03 13:14:00~2020-08-03 23:10:59,596.0,0,25.11458549,121.4931014
2020-08-03 13:12:00+08,北投士林,承德路四段2巷（三腳渡停車場）,2020-08-03 13:12:00~2020-08-03 23:10:59,598.0,0,25.08184598,121.51384338
2020-08-03 13:11:00+08,北投士林,延平北路八段2巷153弄,2020-08-03 13:11:00~2020-08-03 23:10:59,599.0,0,25.10978883,121.48235428
2020-08-03 13:07:00+08,北投士林,台北市北投區明德路3巷9號,2020-08-03 13:07:00~2020-08-03 23:10:59,603.0,0,25.10689118,121.51380418
2020-08-03 13:05:00+08,北投士林,台北市北投區大度路貴子坑溪大度路下方涵洞,2020-08-03 13:05:00~2020-08-03 23:10:59,605.0,0,25.14103753,121.46643343
2020-08-03 13:04:00+08,北投士林,延平北路八段2巷,2020-08-03 13:04:00~2020-08-03 23:10:59,606.0,0,25.10545189,121.48554604
2020-08-03 12:52:00+08,北投士林,台北市北投區中央南路1段102巷6號,2020-08-03 12:52:00~2020-08-03 23:10:59,618.0,0,25.13091768,121.49816698
2020-08-03 12:51:00+08,北投士林,111台灣台北市士林區通河東街二段4號　本里長堤社區大樓管理員告知，通河東街2段4號～5號前的衛生下水道圓孔蓋一直湧出水來，恐會淹到地下室，需做立即處理。,2020-08-03 12:51:00~2020-08-03 23:10:59,619.0,0,25.09118378,121.51256328
2020-08-03 12:50:00+08,北投士林,臺北市士林區福德里003鄰美德街２１之１號,2020-08-03 12:50:00~2020-08-03 23:10:59,620.0,0,25.09435868,121.52072373
2020-08-03 12:48:00+08,北投士林,中山北路五段704巷,2020-08-03 12:48:00~2020-08-03 23:10:59,622.0,0,25.09796438,121.52524993
2020-08-03 12:47:00+08,松山信義港湖,南港高工，南港路一段 (介於板信商銀跟7-11之間),2020-08-03 12:47:00~2020-08-03 23:10:59,623.0,0,25.05647466,121.60312214
2020-08-03 12:45:00+08,松山信義港湖,臺北市內湖區秀湖里002鄰大湖街１６６巷２０之１號對面，馬路上的水溝，湖山6號公園旁邊,2020-08-03 12:45:00~2020-08-03 23:10:59,625.0,0,25.08475273,121.57301978
